Item,Quantity,Cost per piece,Total Cost ( IN INR),Cost in Usd( 1usd =95.23),link
1N4148 Diode ,100,2 rupees,200,2.1 usd,https://www.amazon.in/Embeddinator-1N4148-Diode-Pack-50/dp/B0B53NV1QC
SK6812 MINI,200,,1423,15usd,https://www.desertcart.in/products/792826292-200pcs-sk6812-mini-e-rgb-similar-ws2812b-sk6812-3228-smd
" Rasberrypi pico w + RESISTORS (100K,33K,1.2K,5.1L)",1,900,"₹869.07
",9 usd,https://photos.app.goo.gl/kQwkpoZnvVd7d1E5A
Battery 3.7 V,1,1,200,2.1 usd,https://roboman.in/product/704060-3-7v-2000mah-lipo-battery-rechargeable-lithium-polymer-battery-with-bms/?gad_source=1&gad_campaignid=22543169480&gclid=CjwKCAjw2rrQBhBuEiwAarLWHbTVzNeFEPlnJ33vBr1a9EugNlLzoJztd3d8emWvg_D5-VQfjsHjyhoCnIcQAvD_BwE
tp4056,1,40,40,0.5 usd,https://evelta.com/tp4056x-42-esop8-lithium-ion-battery-management-1a-ic-sop-8-ep/?sku=129-TP4056X-42-ESOP8
mcp1700,1,60,60,0.64usd,https://robu.in/product/mcp1700-3302e-to-microchip-fixed-ldo-voltage-regulator-2-3v-to-6v-to-92-3/
Akko Creamy Cyan Switch (Pack of 45),2,1299,2598,27.3 usd,https://stackskb.com/store/akko-creamy-cyan-switch-pack-of-45-pre-order/
esp32 mini s3,1,242,404,4.2 USD,https://www.lioncircuits.com/parts/ESP32-C3-MINI-1-N4-A
usb type A male ( pack of 10),1,130,130,1.36 usd,https://www.amazon.in/ICSTORE-4-Pin-Solder-Connector-Degree/dp/B0BQ7JFZDF/521-4557262-6496425?pd_rd_w=27EGg&content-id=amzn1.sym.e0c8139c-1aa1-443c-af8a-145a0481f27c&pf_rd_p=e0c8139c-1aa1-443c-af8a-145a0481f27c&pf_rd_r=CZ5B2S6GXZBGMVAN302G&pd_rd_wg=b8IAb&pd_rd_r=c850d602-26d9-4dba-a030-b36f22fc9a0f&pd_rd_i=B0BQ7JFZDF&th=1
usb type C female ( pack of 5),1,100,100,1.05 USD,https://www.amazon.in/UNIVERSAL-HUB-Type-C-Connector-Breakout/dp/B0DYJMNZM1?crid=1UUS7CMCUXLBT&dib=eyJ2IjoiMSJ9._ZfwsQ55v6vwWmjB2k6DmbCPlBykkDBYPryVGaaMPTKX7hzCbfLI0P4f7fLoBQ7Jf4O11poKVY5a0cAtW88UZPt-614G7lv29g-bWzV8T_yo2vDhFm1sCPDiacd1najc1eRk6ljuho16vDrP_B5kLn0BbFPG360551Sb1RROZnHhqvnwFH0F1YeWgOSuvdVpvXdM2T2vmf0F1R85w0Nc1UsWwwFTDQnYujVtcOrW0s4.9Kt9UOmXfFNxfa4NAcPp-WZ2XYzGVPcC3rcZNFD0R0w&dib_tag=se&keywords=usb+c+female+port&qid=1778422420&sprefix=usb+c+female+port%2Caps%2C505&sr=8-3
